1,150313,チャンピオンカレー監修金沢カレーパン,201,チャンピオンカレーの味わいを、カレーパンで再現しました。セブンイレブンでしか味わえない、北陸地区限定のカレーパンをぜひご賞味ください。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150313/3F591B8DFFF66ED7733BA59A09E9D158.jpg,北陸
2,150587,北海道産じゃがいもの牛肉コロッケ,108,衣のサクサクした食感と北海道産じゃがいものホクホク感と味わいをお楽しみいただけるコロッケです。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150587/2F4580554159DA06478696068F2FE433.jpg,全国
3,150524,【盛盛】若鶏のからあげ（むね）２０個,1,【７NOW実施店舗専用商品】4/25(金)より販売開始。若鶏のからあげ（むね）を２０個入れた商品！　※７NOWアプリ/WEBでの販売価格は異なります。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150524/AB9AB464820837977EACC70A2A467F6E.jpg,全国
4,150523,【盛盛】若鶏のからあげ（もも）２０個,1,【７NOW実施店舗専用商品】4/25(金)より販売開始。若鶏のからあげ（もも）を２０個入れた商品！　※７NOWアプリ/WEBでの販売価格は異なります。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150523/DBF048BCBB026D42D09C21EF09B2ED3C.jpg,全国
5,150522,若鶏のからあげ（もも）５個入り,302,薄衣でお肉はジューシーな、何個も食べられるうま味ある醤油からあげです。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150522/F260E65A1AC7DD4613C851D2EB5C53C0.jpg,全国
6,150520,若鶏のからあげ（むね）５個入り,302,ムネ肉を柔らかジューシーに、生姜風味で仕上げたからあげです。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150520/D2CD9B47C7F7722451353EF448C8D929.jpg,全国
7,150089,揚げ鶏,251,原材料の高騰により、価格を223円（税抜）から232円（税抜）に変更いたします。パリッとした衣の食感とジューシーな肉が味わえるフライドチキンです。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150089/7547AC716779F0175DBBFBD1787863E4.jpg,全国
8,150398,ななチキ,251,原材料の高騰により、価格を223円（税抜）から232円（税抜）に変更いたします。ジューシーで肉を美味しく食べられるように、こだわって作ったフライドチキンです。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150398/29CC9A1A223BAD51290EC23434636138.jpg,全国
9,150386,からあげ棒,199,若鶏を使用したサクサクした食感の唐揚げです。食べやすく串に刺しました。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150386/F198EC6C231AAAF9866BF3DEC16C9C14.jpg,岡山県、四国
10,150473,ＢＩＧポークフランク,214,原材料の高騰により、価格を１８４円（税抜）から１９８円（税抜）に変更いたします。ジューシーで食べ応えがあり、食べ飽きない味のポークフランクです。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150473/37CBA4D3395476BA7A16070FD8540848.jpg,北海道、関東、島根県、広島県、山口県、九州、沖縄
11,150472,ＢＩＧポークフランク,214,原材料の高騰により、価格を184円（税抜）から198円（税抜）に変更いたします。ジューシーで食べ応えがあり、食べ飽きない味のポークフランクです。,https://img-afd.7api-01.dp1.sej.co.jp/item-image/150472/22BA675A3EFAEB3ECE1E0FECF6AFA9D7.jpg,東北、甲信越、北陸、東海、近畿、鳥取県、島根県、岡山県、広島県、四国
